# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.887249e+01	9.453923e+00	9.418565e+00	-2.371841e+00	3.095421e+00	-5.467263e+00	4.281342e+00	1.767922e-02	1.919393e-01	1.211750e-01	2.525268e-01	-1.313518e-01
2             	8.474801e+00	4.194532e+00	4.280269e+00	-2.625408e+00	1.142064e+00	-3.767472e+00	2.454768e+00	-4.286863e-02	-5.255496e-03	-1.859642e-02	-1.455370e-02	-4.042712e-03
3             	6.198410e+00	3.053684e+00	3.144727e+00	-2.088507e+00	4.715065e-01	-2.560014e+00	1.515760e+00	-4.552150e-02	1.463864e-01	1.452515e-01	2.190122e-01	-7.376066e-02
4             	2.953648e+00	1.454314e+00	1.499334e+00	-1.971714e+00	5.681344e-02	-2.028528e+00	1.042671e+00	-2.251034e-02	-2.553409e-03	-1.239630e-02	-8.751557e-03	-3.644739e-03
5             	1.713009e+00	8.235357e-01	8.894735e-01	-1.734510e+00	-1.011878e-01	-1.633322e+00	7.660670e-01	-3.296890e-02	1.986856e-02	7.809936e-04	2.025906e-02	-1.947806e-02
6             	1.176346e+00	5.587701e-01	6.175756e-01	-1.577544e+00	-1.470893e-01	-1.430455e+00	6.416829e-01	-2.940276e-02	7.137237e-03	-1.167284e-02	1.300818e-03	-1.297366e-02
7             	9.987126e-01	4.666179e-01	5.320947e-01	-1.381196e+00	-1.352840e-01	-1.245912e+00	5.553139e-01	-3.273843e-02	-8.371937e-03	-6.877734e-03	-1.181080e-02	4.933070e-03
8             	9.223623e-01	4.297053e-01	4.926570e-01	-1.168700e+00	-1.194620e-01	-1.049238e+00	4.648880e-01	-3.147582e-02	5.637109e-03	1.477842e-03	6.376031e-03	-4.898188e-03
9             	7.835742e-01	3.613401e-01	4.222342e-01	-9.477998e-01	-1.085845e-01	-8.392153e-01	3.653154e-01	-3.044704e-02	-2.544091e-02	-1.516392e-02	-3.302287e-02	1.785895e-02
10            	8.234305e-01	3.744758e-01	4.489548e-01	-7.677722e-01	-7.856176e-02	-6.892104e-01	3.053243e-01	-3.723950e-02	7.639222e-03	2.665313e-02	2.096578e-02	5.687341e-03
11            	7.625111e-01	3.461724e-01	4.163387e-01	-6.028264e-01	-7.711367e-02	-5.257128e-01	2.242996e-01	-3.508319e-02	-1.982658e-04	1.497816e-02	7.290815e-03	7.687346e-03
12            	7.086356e-01	3.275129e-01	3.811226e-01	-4.900272e-01	-9.736989e-02	-3.926573e-01	1.476437e-01	-2.680484e-02	-1.541212e-02	1.014956e-02	-1.033734e-02	2.048690e-02
13            	7.036372e-01	3.288417e-01	3.747954e-01	-3.845878e-01	-1.072654e-01	-2.773224e-01	8.502847e-02	-2.297685e-02	-1.047597e-02	3.703845e-03	-8.624052e-03	1.232790e-02
14            	6.899249e-01	3.243224e-01	3.656025e-01	-2.947306e-01	-1.140765e-01	-1.806541e-01	3.328883e-02	-2.064006e-02	-1.070853e-02	1.889053e-03	-9.764003e-03	1.165306e-02
15            	6.824764e-01	3.236673e-01	3.588091e-01	-2.341266e-01	-1.223761e-01	-1.117504e-01	-5.312837e-03	-1.757088e-02	-7.581604e-03	4.825748e-03	-5.168730e-03	9.994478e-03
16            	6.777582e-01	3.227409e-01	3.550172e-01	-1.909501e-01	-1.251445e-01	-6.580567e-02	-2.966939e-02	-1.613815e-02	-4.938951e-04	8.337514e-03	3.674862e-03	4.662652e-03
17            	6.601214e-01	3.153301e-01	3.447914e-01	-1.661114e-01	-1.321677e-01	-3.394369e-02	-4.911203e-02	-1.473066e-02	6.569507e-04	5.736503e-03	3.525202e-03	2.211301e-03
18            	6.446010e-01	3.074837e-01	3.371173e-01	-1.477745e-01	-1.351704e-01	-1.260406e-02	-6.128318e-02	-1.481683e-02	3.212233e-03	6.197571e-03	6.311019e-03	-1.134479e-04
19            	6.288948e-01	2.984355e-01	3.304593e-01	-1.430992e-01	-1.379531e-01	-5.146063e-03	-6.640353e-02	-1.601190e-02	8.191196e-03	9.001143e-03	1.269177e-02	-3.690625e-03
20            	6.192566e-01	2.912328e-01	3.280238e-01	-1.499112e-01	-1.391110e-01	-1.080020e-02	-6.415538e-02	-1.839554e-02	1.239519e-02	1.251834e-02	1.865436e-02	-6.136024e-03
21            	6.112633e-01	2.836461e-01	3.276172e-01	-1.653426e-01	-1.377511e-01	-2.759150e-02	-5.507980e-02	-2.198554e-02	1.511490e-02	1.472061e-02	2.247520e-02	-7.754595e-03
22            	6.078453e-01	2.793203e-01	3.285251e-01	-1.855758e-01	-1.365607e-01	-4.901509e-02	-4.377282e-02	-2.460239e-02	1.774464e-02	1.796463e-02	2.672695e-02	-8.762328e-03
23            	6.030462e-01	2.753310e-01	3.277152e-01	-2.049690e-01	-1.317358e-01	-7.323321e-02	-2.925128e-02	-2.619211e-02	1.899592e-02	1.872038e-02	2.835611e-02	-9.635732e-03
24            	6.044212e-01	2.751139e-01	3.293074e-01	-2.226139e-01	-1.240019e-01	-9.861203e-02	-1.269493e-02	-2.709676e-02	2.157953e-02	1.720236e-02	3.018071e-02	-1.297835e-02
25            	6.047090e-01	2.742778e-01	3.304312e-01	-2.365052e-01	-1.146101e-01	-1.218951e-01	3.642524e-03	-2.807672e-02	2.146927e-02	1.523985e-02	2.908919e-02	-1.384934e-02
26            	6.079816e-01	2.755736e-01	3.324080e-01	-2.454209e-01	-1.074948e-01	-1.379261e-01	1.521566e-02	-2.841717e-02	2.084227e-02	1.088047e-02	2.628251e-02	-1.540204e-02
27            	6.128550e-01	2.774677e-01	3.353873e-01	-2.468296e-01	-1.022030e-01	-1.446266e-01	2.121177e-02	-2.895982e-02	1.912556e-02	7.144628e-03	2.269787e-02	-1.555324e-02
28            	6.181139e-01	2.790953e-01	3.390186e-01	-2.430562e-01	-9.892534e-02	-1.441309e-01	2.260278e-02	-2.996167e-02	1.869352e-02	5.256024e-03	2.132153e-02	-1.606550e-02
29            	6.230879e-01	2.799393e-01	3.431486e-01	-2.397706e-01	-9.652945e-02	-1.432411e-01	2.335584e-02	-3.160463e-02	1.903033e-02	6.316431e-03	2.218854e-02	-1.587211e-02
30            	6.264500e-01	2.797543e-01	3.466957e-01	-2.375691e-01	-9.344123e-02	-1.441278e-01	2.534331e-02	-3.347073e-02	2.028832e-02	7.933048e-03	2.425485e-02	-1.632180e-02
31            	6.267610e-01	2.782425e-01	3.485185e-01	-2.394457e-01	-9.213973e-02	-1.473060e-01	2.758312e-02	-3.513800e-02	2.038424e-02	9.472685e-03	2.512058e-02	-1.564790e-02
32            	6.265594e-01	2.768702e-01	3.496892e-01	-2.403699e-01	-8.801868e-02	-1.523513e-01	3.216629e-02	-3.640949e-02	2.033409e-02	9.727996e-03	2.519809e-02	-1.547009e-02
33            	6.252827e-01	2.754919e-01	3.497908e-01	-2.425893e-01	-8.672642e-02	-1.558629e-01	3.456825e-02	-3.714948e-02	1.927807e-02	9.024524e-03	2.379033e-02	-1.476580e-02
34            	6.252809e-01	2.750294e-01	3.502515e-01	-2.405738e-01	-8.391431e-02	-1.566595e-01	3.637258e-02	-3.761102e-02	1.837025e-02	7.297672e-03	2.201908e-02	-1.472141e-02
35            	6.244718e-01	2.744996e-01	3.499722e-01	-2.363743e-01	-8.344035e-02	-1.529339e-01	3.474679e-02	-3.773628e-02	1.677304e-02	4.827774e-03	1.918693e-02	-1.435915e-02
36            	6.230600e-01	2.738513e-01	3.492086e-01	-2.290361e-01	-8.288312e-02	-1.461530e-01	3.163494e-02	-3.767865e-02	1.528590e-02	2.106723e-03	1.633926e-02	-1.423254e-02
37            	6.210084e-01	2.729513e-01	3.480570e-01	-2.225948e-01	-8.377047e-02	-1.388243e-01	2.752692e-02	-3.755284e-02	1.398446e-02	-1.237371e-04	1.392259e-02	-1.404633e-02
38            	6.181459e-01	2.715890e-01	3.465569e-01	-2.171684e-01	-8.373302e-02	-1.334354e-01	2.485118e-02	-3.748393e-02	1.335306e-02	-1.437243e-03	1.263444e-02	-1.407168e-02
39            	6.140558e-01	2.696017e-01	3.444541e-01	-2.163106e-01	-8.407627e-02	-1.322343e-01	2.407903e-02	-3.742620e-02	1.318607e-02	-2.217918e-03	1.207711e-02	-1.429503e-02
40            	6.096930e-01	2.675347e-01	3.421583e-01	-2.184694e-01	-8.519481e-02	-1.332746e-01	2.403987e-02	-3.731176e-02	1.352067e-02	-2.956995e-03	1.204218e-02	-1.499917e-02
41            	6.061250e-01	2.660159e-01	3.401091e-01	-2.226046e-01	-8.845825e-02	-1.341464e-01	2.284407e-02	-3.704663e-02	1.397367e-02	-3.601825e-03	1.217276e-02	-1.577458e-02
42            	6.036724e-01	2.651439e-01	3.385286e-01	-2.270942e-01	-9.322730e-02	-1.338669e-01	2.031979e-02	-3.669236e-02	1.467920e-02	-4.158546e-03	1.259992e-02	-1.675847e-02
43            	6.013899e-01	2.644377e-01	3.369522e-01	-2.320574e-01	-9.966389e-02	-1.323935e-01	1.636482e-02	-3.625726e-02	1.515929e-02	-4.597782e-03	1.286040e-02	-1.745818e-02
44            	5.989613e-01	2.634796e-01	3.354817e-01	-2.359757e-01	-1.066049e-01	-1.293709e-01	1.138299e-02	-3.600103e-02	1.554193e-02	-4.857095e-03	1.311338e-02	-1.797047e-02
45            	5.966910e-01	2.622938e-01	3.343972e-01	-2.385201e-01	-1.131279e-01	-1.253921e-01	6.132104e-03	-3.605171e-02	1.583996e-02	-4.600403e-03	1.353976e-02	-1.814016e-02
46            	5.944887e-01	2.607099e-01	3.337788e-01	-2.399273e-01	-1.190724e-01	-1.208549e-01	8.912621e-04	-3.653446e-02	1.607474e-02	-3.796100e-03	1.417669e-02	-1.797279e-02
47            	5.922599e-01	2.587998e-01	3.334602e-01	-2.406216e-01	-1.240854e-01	-1.165362e-01	-3.774589e-03	-3.733019e-02	1.618456e-02	-2.567078e-03	1.490103e-02	-1.746810e-02
48            	5.905580e-01	2.569610e-01	3.335970e-01	-2.410990e-01	-1.284514e-01	-1.126476e-01	-7.901934e-03	-3.831803e-02	1.625706e-02	-1.116944e-03	1.569858e-02	-1.681553e-02
49            	5.884088e-01	2.548765e-01	3.335324e-01	-2.417793e-01	-1.320499e-01	-1.097293e-01	-1.116028e-02	-3.932794e-02	1.620877e-02	4.085787e-04	1.641306e-02	-1.600448e-02
50            	5.865849e-01	2.530398e-01	3.335451e-01	-2.430568e-01	-1.349881e-01	-1.080687e-01	-1.345967e-02	-4.025263e-02	1.622611e-02	1.859073e-03	1.715565e-02	-1.529658e-02
51            	5.847822e-01	2.513508e-01	3.334314e-01	-2.452795e-01	-1.371887e-01	-1.080908e-01	-1.454892e-02	-4.104029e-02	1.619812e-02	3.052205e-03	1.772423e-02	-1.467202e-02
52            	5.836856e-01	2.502066e-01	3.334791e-01	-2.484846e-01	-1.387748e-01	-1.097097e-01	-1.453255e-02	-4.163625e-02	1.594828e-02	3.768454e-03	1.783251e-02	-1.406406e-02
53            	5.831379e-01	2.495252e-01	3.336127e-01	-2.530280e-01	-1.396168e-01	-1.134113e-01	-1.310276e-02	-4.204375e-02	1.541557e-02	3.880640e-03	1.735589e-02	-1.347525e-02
54            	5.834914e-01	2.493799e-01	3.341115e-01	-2.589639e-01	-1.396091e-01	-1.193547e-01	-1.012720e-02	-4.236578e-02	1.476058e-02	3.741883e-03	1.663152e-02	-1.288964e-02
55            	5.845652e-01	2.496543e-01	3.349109e-01	-2.663396e-01	-1.387038e-01	-1.276358e-01	-5.533994e-03	-4.262828e-02	1.402604e-02	3.300809e-03	1.567644e-02	-1.237564e-02
56            	5.865649e-01	2.503579e-01	3.362070e-01	-2.745342e-01	-1.369587e-01	-1.375755e-01	3.084082e-04	-4.292453e-02	1.342059e-02	2.857133e-03	1.484916e-02	-1.199203e-02
57            	5.891244e-01	2.513433e-01	3.377810e-01	-2.832081e-01	-1.345840e-01	-1.486242e-01	7.020104e-03	-4.321885e-02	1.274074e-02	2.106949e-03	1.379421e-02	-1.168726e-02
58            	5.923838e-01	2.526424e-01	3.397414e-01	-2.918552e-01	-1.316803e-01	-1.601749e-01	1.424728e-02	-4.354952e-02	1.207990e-02	1.323064e-03	1.274143e-02	-1.141836e-02
59            	5.959022e-01	2.540450e-01	3.418572e-01	-3.000355e-01	-1.286252e-01	-1.714103e-01	2.139252e-02	-4.390612e-02	1.136790e-02	3.977104e-04	1.156675e-02	-1.116904e-02
60            	5.995581e-01	2.554873e-01	3.440708e-01	-3.072929e-01	-1.257952e-01	-1.814977e-01	2.785126e-02	-4.429174e-02	1.056957e-02	-5.505966e-04	1.029427e-02	-1.084487e-02
61            	6.029763e-01	2.568365e-01	3.461398e-01	-3.130639e-01	-1.235568e-01	-1.895071e-01	3.297518e-02	-4.465168e-02	9.526262e-03	-1.821119e-03	8.615703e-03	-1.043682e-02
62            	6.057308e-01	2.578861e-01	3.478448e-01	-3.170923e-01	-1.220966e-01	-1.949957e-01	3.644954e-02	-4.497936e-02	8.215843e-03	-3.432026e-03	6.499830e-03	-9.931856e-03
63            	6.076091e-01	2.585487e-01	3.490604e-01	-3.195067e-01	-1.213710e-01	-1.981357e-01	3.838237e-02	-4.525587e-02	6.766216e-03	-5.361078e-03	4.085677e-03	-9.446755e-03
64            	6.087402e-01	2.588619e-01	3.498782e-01	-3.205097e-01	-1.213184e-01	-1.991913e-01	3.893644e-02	-4.550816e-02	5.157981e-03	-7.565066e-03	1.375447e-03	-8.940514e-03
65            	6.092430e-01	2.588801e-01	3.503629e-01	-3.205564e-01	-1.218960e-01	-1.986604e-01	3.838217e-02	-4.574138e-02	3.605633e-03	-9.930358e-03	-1.359546e-03	-8.570812e-03
66            	6.092596e-01	2.586442e-01	3.506154e-01	-3.196044e-01	-1.231374e-01	-1.964671e-01	3.666486e-02	-4.598559e-02	2.221461e-03	-1.230265e-02	-3.929866e-03	-8.372788e-03
67            	6.089600e-01	2.582694e-01	3.506905e-01	-3.177814e-01	-1.248792e-01	-1.929022e-01	3.401147e-02	-4.621054e-02	1.122844e-03	-1.462414e-02	-6.189226e-03	-8.434914e-03
68            	6.082516e-01	2.577157e-01	3.505359e-01	-3.151694e-01	-1.271729e-01	-1.879965e-01	3.041180e-02	-4.641012e-02	3.645590e-04	-1.682093e-02	-8.045908e-03	-8.775026e-03
69            	6.072253e-01	2.569992e-01	3.502261e-01	-3.117520e-01	-1.298964e-01	-1.818556e-01	2.597959e-02	-4.661350e-02	-4.784696e-05	-1.881436e-02	-9.455025e-03	-9.359332e-03
70            	6.060071e-01	2.561819e-01	3.498252e-01	-3.078772e-01	-1.329004e-01	-1.749768e-01	2.103818e-02	-4.682167e-02	-1.596788e-04	-2.063260e-02	-1.047598e-02	-1.015662e-02
71            	6.045574e-01	2.552521e-01	3.493053e-01	-3.038111e-01	-1.361208e-01	-1.676903e-01	1.578477e-02	-4.702660e-02	6.664042e-05	-2.217979e-02	-1.102325e-02	-1.115653e-02
72            	6.028983e-01	2.542401e-01	3.486582e-01	-2.995285e-01	-1.394596e-01	-1.600690e-01	1.030471e-02	-4.720909e-02	5.325671e-04	-2.344828e-02	-1.119157e-02	-1.225671e-02
73            	6.011657e-01	2.532236e-01	3.479421e-01	-2.953004e-01	-1.429047e-01	-1.523957e-01	4.745477e-03	-4.735927e-02	1.216259e-03	-2.442000e-02	-1.099374e-02	-1.342626e-02
74            	5.992858e-01	2.521739e-01	3.471118e-01	-2.910365e-01	-1.463689e-01	-1.446677e-01	-8.505784e-04	-4.746894e-02	2.057899e-03	-2.507375e-02	-1.047898e-02	-1.459477e-02
75            	5.972341e-01	2.510550e-01	3.461791e-01	-2.865573e-01	-1.497205e-01	-1.368368e-01	-6.441853e-03	-4.756203e-02	2.968993e-03	-2.541391e-02	-9.737963e-03	-1.567595e-02
76            	5.952276e-01	2.499454e-01	3.452822e-01	-2.821392e-01	-1.526870e-01	-1.294521e-01	-1.161744e-02	-4.766841e-02	3.989970e-03	-2.524739e-02	-8.633726e-03	-1.661366e-02
77            	5.936914e-01	2.490531e-01	3.446383e-01	-2.782791e-01	-1.552400e-01	-1.230392e-01	-1.610039e-02	-4.779261e-02	5.030727e-03	-2.482104e-02	-7.379791e-03	-1.744125e-02
78            	5.923702e-01	2.482312e-01	3.441390e-01	-2.747425e-01	-1.573906e-01	-1.173519e-01	-2.001932e-02	-4.795393e-02	6.167650e-03	-2.401810e-02	-5.841398e-03	-1.817670e-02
79            	5.913207e-01	2.474842e-01	3.438364e-01	-2.718988e-01	-1.591392e-01	-1.127597e-01	-2.318975e-02	-4.817609e-02	7.383167e-03	-2.297687e-02	-4.105269e-03	-1.887160e-02
80            	5.904668e-01	2.467441e-01	3.437228e-01	-2.698617e-01	-1.603660e-01	-1.094958e-01	-2.543510e-02	-4.848936e-02	8.727119e-03	-2.160358e-02	-2.074672e-03	-1.952891e-02
81            	5.898897e-01	2.460394e-01	3.438503e-01	-2.689164e-01	-1.610432e-01	-1.078732e-01	-2.658496e-02	-4.890545e-02	1.026808e-02	-1.986306e-02	3.365504e-04	-2.019961e-02
82            	5.895819e-01	2.453684e-01	3.442135e-01	-2.690267e-01	-1.610827e-01	-1.079440e-01	-2.656934e-02	-4.942257e-02	1.188995e-02	-1.776532e-02	3.007295e-03	-2.077261e-02
83            	5.895143e-01	2.447256e-01	3.447887e-01	-2.701590e-01	-1.605170e-01	-1.096420e-01	-2.543748e-02	-5.003156e-02	1.351229e-02	-1.548213e-02	5.771222e-03	-2.125335e-02
84            	5.896333e-01	2.441239e-01	3.455094e-01	-2.719828e-01	-1.593271e-01	-1.126557e-01	-2.333573e-02	-5.069277e-02	1.496438e-02	-1.304659e-02	8.441086e-03	-2.148767e-02
85            	5.900452e-01	2.436731e-01	3.463721e-01	-2.743947e-01	-1.576141e-01	-1.167806e-01	-2.041676e-02	-5.134952e-02	1.614218e-02	-1.077060e-02	1.075688e-02	-2.152748e-02
86            	5.906818e-01	2.433694e-01	3.473124e-01	-2.771266e-01	-1.554545e-01	-1.216722e-01	-1.689113e-02	-5.197150e-02	1.693824e-02	-8.698924e-03	1.258878e-02	-2.128770e-02
87            	5.916353e-01	2.432749e-01	3.483604e-01	-2.799425e-01	-1.529873e-01	-1.269552e-01	-1.301602e-02	-5.254277e-02	1.739712e-02	-6.959955e-03	1.391714e-02	-2.087710e-02
88            	5.926932e-01	2.432860e-01	3.494073e-01	-2.826449e-01	-1.503702e-01	-1.322747e-01	-9.047742e-03	-5.306063e-02	1.752913e-02	-5.521653e-03	1.476830e-02	-2.028996e-02
89            	5.937503e-01	2.433564e-01	3.503939e-01	-2.851303e-01	-1.477590e-01	-1.373713e-01	-5.193831e-03	-5.351875e-02	1.751594e-02	-4.336054e-03	1.534791e-02	-1.968397e-02
90            	5.946312e-01	2.434052e-01	3.512261e-01	-2.871276e-01	-1.452944e-01	-1.418332e-01	-1.730621e-03	-5.391046e-02	1.738301e-02	-3.263727e-03	1.575114e-02	-1.901487e-02
91            	5.953412e-01	2.434249e-01	3.519163e-01	-2.885905e-01	-1.430707e-01	-1.455198e-01	1.224567e-03	-5.424570e-02	1.729578e-02	-2.195997e-03	1.619778e-02	-1.839377e-02
92            	5.957771e-01	2.433497e-01	3.524274e-01	-2.894734e-01	-1.410934e-01	-1.483800e-01	3.643300e-03	-5.453884e-02	1.726658e-02	-1.053787e-03	1.673968e-02	-1.779347e-02
93            	5.960324e-01	2.432283e-01	3.528041e-01	-2.899167e-01	-1.393741e-01	-1.505426e-01	5.584217e-03	-5.478791e-02	1.733746e-02	1.215907e-04	1.739825e-02	-1.727666e-02
